,buy_mean,buy_std,buy_pc01,buy_pc02,buy_pc03,buy_pc04,buy_pc05,buy_pc06,buy_pc07,buy_pc08,buy_pc09,buy_pc10,buy_pc11,buy_pc12,buy_pc13,buy_pc14,buy_pc15,buy_pc16,buy_pc17,buy_pc18,buy_pc19,buy_pc20,sell_mean,sell_std,sell_pc01,sell_pc02,sell_pc03,sell_pc04,sell_pc05,sell_pc06,sell_pc07,sell_pc08,sell_pc09,sell_pc10,sell_pc11,sell_pc12,sell_pc13,sell_pc14,sell_pc15,sell_pc16,sell_pc17,sell_pc18,sell_pc19,sell_pc20
wkBB[2][2],0.0020179511455172693,0.0013554298769045926,0.11529293040081877,-0.013880016823708749,0.06862926640914892,-0.04971391156486362,0.033544624370197576,0.18108132781708566,0.02283259455011177,0.09961184539576634,-0.033012143315256454,0.24722276434014134,-0.10319060996180487,-0.003206390167015425,0.15945304677187488,-0.04935946406555127,0.09067082216351013,0.01460808560839751,-0.23781728276153685,0.09065375941374913,0.0883405538944799,0.10963953314297858,0.0020179511455172693,0.0013554298769045926,0.11529293040081877,-0.013880016823708749,0.06862926640914892,-0.04971391156486362,0.033544624370197576,0.18108132781708566,0.02283259455011177,0.09961184539576634,-0.033012143315256454,0.24722276434014134,-0.10319060996180487,-0.003206390167015425,0.15945304677187488,-0.04935946406555127,0.09067082216351013,0.01460808560839751,-0.23781728276153685,0.09065375941374913,0.0883405538944799,0.10963953314297858
wkATR[2][2],0.15802867435158505,0.07451424916563384,0.14147918380408178,-0.023236245288348497,-0.004664884709361842,-0.08235314864643918,0.07022759535543173,0.018777021908829725,0.06426925919946695,-0.060913998463980774,-0.028044688066384646,0.1098261350685216,0.050635927570054876,0.04735091026711244,-0.0020737892216137225,0.06075336318722686,-0.10033370852724817,0.11750999050670448,0.039099042685879805,0.05723524841359362,0.0094623420489786,0.13228630694623156,0.15802867435158505,0.07451424916563384,0.14147918380408178,-0.023236245288348497,-0.004664884709361842,-0.08235314864643918,0.07022759535543173,0.018777021908829725,0.06426925919946695,-0.060913998463980774,-0.028044688066384646,0.1098261350685216,0.050635927570054876,0.04735091026711244,-0.0020737892216137225,0.06075336318722686,-0.10033370852724817,0.11750999050670448,0.039099042685879805,0.05723524841359362,0.0094623420489786,0.13228630694623156
wkSMA[2][3],-0.0034218264767297765,0.006400124320938514,-0.05407607143610931,-0.0001745427500019306,-0.29771414730158796,-0.03437862018917547,0.04568612917600257,-0.0038924720832708166,0.052104530318821646,-0.008847194162082949,0.19181044767361974,0.13808961490889346,-0.13899634041330722,0.034160479408379824,-0.03871116441589871,-0.07280053028802838,0.005770979350394763,-0.03501923132872399,-0.06824473021551115,-0.08052499056764018,-0.2158939210923173,0.06551380289638646,-0.0034218264767297765,0.006400124320938514,-0.05407607143610931,-0.0001745427500019306,-0.29771414730158796,-0.03437862018917547,0.04568612917600257,-0.0038924720832708166,0.052104530318821646,-0.008847194162082949,0.19181044767361974,0.13808961490889346,-0.13899634041330722,0.034160479408379824,-0.03871116441589871,-0.07280053028802838,0.005770979350394763,-0.03501923132872399,-0.06824473021551115,-0.08052499056764018,-0.2158939210923173,0.06551380289638646
wkRSI[2][3],50.21997188248489,7.146400203905375,-0.032028905561959344,-0.17916998270809648,-0.02309856109320076,-0.03585179640803488,-0.23380778984878714,0.04581636450497497,0.1500949098882691,-0.060484986147347694,-0.07376785661534281,-0.03361327078024847,-0.1021674780918697,-0.07885783313410955,-0.008086103148156987,-0.0033981439007513413,0.005417365828040465,-0.0039291533848702185,0.01612838910417499,0.11407929273527423,-0.05072041701229689,0.022557703758157327,50.21997188248489,7.146400203905375,-0.032028905561959344,-0.17916998270809648,-0.02309856109320076,-0.03585179640803488,-0.23380778984878714,0.04581636450497497,0.1500949098882691,-0.060484986147347694,-0.07376785661534281,-0.03361327078024847,-0.1021674780918697,-0.07885783313410955,-0.008086103148156987,-0.0033981439007513413,0.005417365828040465,-0.0039291533848702185,0.01612838910417499,0.11407929273527423,-0.05072041701229689,0.022557703758157327
wkBB[2][3],0.00490517897807492,0.0030265893502039506,0.10321092828539757,-0.03673155848061774,-0.00637868277567845,-0.12044455605741634,0.03653136452069195,-0.014389388802888385,0.17966311476195748,0.27138342103542884,0.08677793178696744,-0.06299616547528311,0.1613474731967522,-0.14865206636709855,-0.11629830552179497,0.023699159057524417,-0.07392423514081586,-0.15349730903233855,0.0795472192311121,-0.1621585164372818,-0.013916864186228454,-0.0160509645239742,0.00490517897807492,0.0030265893502039506,0.10321092828539757,-0.03673155848061774,-0.00637868277567845,-0.12044455605741634,0.03653136452069195,-0.014389388802888385,0.17966311476195748,0.27138342103542884,0.08677793178696744,-0.06299616547528311,0.1613474731967522,-0.14865206636709855,-0.11629830552179497,0.023699159057524417,-0.07392423514081586,-0.15349730903233855,0.0795472192311121,-0.1621585164372818,-0.013916864186228454,-0.0160509645239742
wkATR[2][3],0.33062569164265143,0.14703194111394607,0.1332190246296596,-0.034363983851580106,-0.023518629016659204,-0.12880385739044803,0.069426405529718,-0.07010188819337825,0.042454553676120776,-0.05783469913764047,-0.03275113201716543,-0.046304462254161544,-0.003174563804458431,0.036813120710345884,-0.06105890587419681,0.03447611594939421,-0.12878802914633833,0.12783938249787688,-0.03130145432122296,-0.05904006873862546,-0.002071977186457817,0.05764526258638252,0.33062569164265143,0.14703194111394607,0.1332190246296596,-0.034363983851580106,-0.023518629016659204,-0.12880385739044803,0.069426405529718,-0.07010188819337825,0.042454553676120776,-0.05783469913764047,-0.03275113201716543,-0.046304462254161544,-0.003174563804458431,0.036813120710345884,-0.06105890587419681,0.03447611594939421,-0.12878802914633833,0.12783938249787688,-0.03130145432122296,-0.05904006873862546,-0.002071977186457817,0.05764526258638252
wkSMA[2][4],-0.002935051713481341,0.018132082226095886,-0.01877250765786359,0.004433545413188858,-0.2871457940288002,-0.016754201011408537,0.052815458636479774,0.20422393218559692,-0.07143949662919374,0.05439301963113254,-0.20009143054724376,-0.12419185871631101,0.08569957613631655,-0.015030347763332815,0.007637582617729088,-0.0023181103112210055,-0.006680121065206843,0.04037995390990113,0.10033692510494395,0.10037380660574906,0.2807081121118066,-0.08752339737314026,-0.002935051713481341,0.018132082226095886,-0.01877250765786359,0.004433545413188858,-0.2871457940288002,-0.016754201011408537,0.052815458636479774,0.20422393218559692,-0.07143949662919374,0.05439301963113254,-0.20009143054724376,-0.12419185871631101,0.08569957613631655,-0.015030347763332815,0.007637582617729088,-0.0023181103112210055,-0.006680121065206843,0.04037995390990113,0.10033692510494395,0.10037380660574906,0.2807081121118066,-0.08752339737314026
wkRSI[2][4],49.925922972031806,8.846594964010082,-0.023533603887704008,-0.09140077537411284,-0.01913013246082222,-0.09943849881407081,-0.30208934400809717,0.05945439697323396,-0.1056910591469916,-0.0008051169246378255,0.05962846030397792,0.12291936004337302,0.19866543049308344,0.1772040684005318,-0.0036383920206903854,-0.002886011684140968,-0.110267499927881,-0.0732376028752857,0.00538824704409366,-0.1100395069553678,0.07882945568910982,0.042477593419412034,49.925922972031806,8.846594964010082,-0.023533603887704008,-0.09140077537411284,-0.01913013246082222,-0.09943849881407081,-0.30208934400809717,0.05945439697323396,-0.1056910591469916,-0.0008051169246378255,0.05962846030397792,0.12291936004337302,0.19866543049308344,0.1772040684005318,-0.0036383920206903854,-0.002886011684140968,-0.110267499927881,-0.0732376028752857,0.00538824704409366,-0.1100395069553678,0.07882945568910982,0.042477593419412034
wkBB[2][4],0.012087681140612308,0.007112861947764542,0.10027348490123386,-0.0522373164299316,-0.028145144259657355,-0.15445743744555931,-0.06044227665985387,-0.06498926272232865,-0.06271185953267572,0.060485745690811464,0.06623410982778863,-0.13716383235233115,-0.07619330076365019,0.2807898906621411,0.23183115035127808,-0.007182068950990141,0.2617619463481717,0.14363047327344755,0.0888284541797647,-0.02982926282805326,-0.05840328810651303,-0.12274919909293604,0.012087681140612308,0.007112861947764542,0.10027348490123386,-0.0522373164299316,-0.028145144259657355,-0.15445743744555931,-0.06044227665985387,-0.06498926272232865,-0.06271185953267572,0.060485745690811464,0.06623410982778863,-0.13716383235233115,-0.07619330076365019,0.2807898906621411,0.23183115035127808,-0.007182068950990141,0.2617619463481717,0.14363047327344755,0.0888284541797647,-0.02982926282805326,-0.05840328810651303,-0.12274919909293604
wkATR[2][4],0.7979223703170031,0.3565587016010536,0.11377388336149387,-0.03723151643617781,-0.0275804475320148,-0.16415880457940896,0.010142141215163145,-0.12432312874160849,-0.15060507106343884,-0.0773470181162205,-0.07305326210499324,-0.05474668106791682,-0.14076721408377663,-0.023149596856526792,0.04749954564118153,-0.048914263044581074,-0.1394059277238666,-0.18116980636747826,-0.05572883266184927,-0.06713537744145272,0.05478116194747886,-0.11505773627003514,0.7979223703170031,0.3565587016010536,0.11377388336149387,-0.03723151643617781,-0.0275804475320148,-0.16415880457940896,0.010142141215163145,-0.12432312874160849,-0.15060507106343884,-0.0773470181162205,-0.07305326210499324,-0.05474668106791682,-0.14076721408377663,-0.023149596856526792,0.04749954564118153,-0.048914263044581074,-0.1394059277238666,-0.18116980636747826,-0.05572883266184927,-0.06713537744145272,0.05478116194747886,-0.11505773627003514
