,buy_mean,buy_pc01,buy_pc02,buy_pc03,buy_pc04,buy_pc05,buy_pc06,sell_mean,sell_pc01,sell_pc02,sell_pc03,sell_pc04,sell_pc05,sell_pc06
wkATR[0][3],-3.6839869701579385e-15,0.13853093409899778,0.038860478061094106,-0.07935094579975473,0.018805185856879642,0.01329651284755918,0.06005201495096623,-4.186767394847049e-15,0.13495202695521044,0.049712296755086864,-0.06410136800113417,-0.01389151934048071,0.04078377055966255,0.02342635497032222
wkSMA[0][4],1.9170067944260769e-16,-0.016108332284125837,0.2023648562076957,0.04569385190168435,-0.030495101730173193,-0.10394502869532361,0.12459954309110086,-6.481437986253605e-16,-0.0819543905752199,0.16600754982495056,0.08488235738060515,0.03000797205665098,0.006755275073745712,0.13282437114816342
wkRSI[0][4],-2.5962939846248823e-15,-0.014964449364757588,-0.20842472781400606,-0.06524054112979097,-0.09738682387406716,0.07861897362631678,0.0276499390789217,-3.7258204076259075e-15,-0.05148903355984109,0.1978630722552104,0.09891634720847918,-0.09516702785641527,0.04759369443851691,0.0484366635791989
wkBB[0][4],1.0001774579614314e-15,0.1035329744500023,-0.004577806637628582,-0.10943460358745573,-0.014001844573873571,-0.0637695162633273,-0.07126181480107739,-3.301105061321712e-15,0.09565574116642296,0.06835341307248691,-0.08224177118221485,-0.020229582392862048,-0.10537481371887292,0.12298676643586468
wkATR[0][4],-2.1670511589164346e-15,0.12840248778272934,0.029051632342338415,-0.11827941957093467,-0.008512046356607917,-0.06102962682406789,-0.09501974663484705,-3.542649334101349e-16,0.12084392115463254,0.0894635605866335,-0.08148673365054433,0.002039755774619426,-0.12340094898768145,0.010238284599002244
wkSMA[1][0],2.883845003788794e-15,-0.10818848840903815,-0.007341962060552915,-0.14248393564343165,0.13280747452142055,-0.09504151630466301,0.11204727362796041,3.2527962067657845e-15,-0.10865608985523509,-0.023219671479751184,-0.13016231957582663,-0.1371279887889412,-0.032969065374834856,0.10560317911045848
wkRSI[1][0],3.577509744945795e-14,0.04256640381986125,-0.030958415568656528,0.19689646438892616,-0.14148271695015538,-0.16052850580248967,-0.09836325088611164,7.991089691126339e-16,-0.02847712601440664,0.03615295904630383,-0.2163887471019231,-0.08151117280447223,0.21477124307366177,-0.04772559951113427
wkBB[1][0],3.167228616877866e-16,0.11910806239608282,0.01128385874455949,0.11782722344347057,-0.1074972259540901,0.12305678350634351,-0.06939509245801873,1.3526479275659699e-15,0.1141127309317251,0.02508011024079377,0.11846010756527094,0.1276536124997321,0.04567699991669996,-0.09522061926508799
wkATR[1][0],3.2339071140752947e-15,0.1270385870605474,0.026112425837649153,0.019547237390606875,-0.047865367462974984,0.19200985320532482,-0.047441662388288626,4.6537529888876815e-15,0.12118611027231174,0.05710122879560173,0.03279356518701466,0.09595328467450295,0.11515780298435886,-0.14357898792286944
wkSMA[1][1],-1.416918065445361e-15,-0.12776874472670008,-0.0024103371220856856,-0.14076002334107626,0.10710438380792343,-0.06393767308951367,0.0324309235695976,-1.2399272669354723e-15,-0.1220198908434258,-0.01796380309427921,-0.14581963452929655,-0.11410407949047548,-0.014074699257357007,0.05717553388229654
wkRSI[1][1],-2.201223888730117e-14,0.0521570058570796,-0.06582756436277012,0.21044750742012278,-0.05460306687345235,-0.2055079526124776,0.013296009911996995,-7.528129834965368e-16,-0.040274645558215194,0.06473391945987311,-0.23273189318686405,-0.0067604218446263254,0.19411706492565542,-0.10645653212882299
wkBB[1][1],1.6336231813370046e-15,0.13042968737917238,0.004754325980966344,0.09053664691315204,-0.048861267259073235,0.07763611684969172,0.06929326616691794,1.7391187640133898e-15,0.12172629672045637,0.019609060490644023,0.10636727608461159,0.07485155405153386,0.0591396893207982,-0.030519970480777293
wkATR[1][1],6.534492725348018e-15,0.13678648394206908,0.034323633481958986,-0.016115658762043315,-0.01467056778429187,0.16394090413803458,0.022467371265720543,3.574855237138634e-15,0.13274042019411655,0.056561075065687236,-0.008701798061480599,0.040356273592358105,0.1425138436647282,-0.08957050353782818
wkSMA[1][2],-1.133534452356289e-15,-0.13893778750417599,0.018549340625474878,-0.08383865128764718,-0.030987148227802498,0.020450175740267248,-0.12437006106693822,-1.3848538306032547e-15,-0.1349353423346897,0.006335615234178513,-0.08681147860059436,0.04683142251391373,-0.04405432468110717,-0.10114878600921674
wkRSI[1][2],-4.62582074307162e-15,0.03990135023179662,-0.17310118002349528,0.0865360551050492,0.17615690349352678,-0.10120989761861385,-0.04169308645826904,2.7757462680260003e-15,-0.060230816057933276,0.1657012266274198,-0.08385753854914875,0.1894207523061954,0.0314452170532094,0.003334030722492198
wkBB[1][2],-1.2168825738530748e-15,0.12746551088686528,-0.01703316793545328,0.005265379699629135,0.11049477849381723,-0.04191338628989095,0.20116692406115486,-2.689192903613297e-15,0.12204906489935044,-0.005244115620361282,0.019886512530346494,-0.11830872777510928,0.09815273484124391,0.14939954614987236
wkATR[1][2],-5.667672261781445e-16,0.1417802683447074,0.03361274334900406,-0.06414858064412318,0.03412253671230082,0.036088153429792394,0.07725604282637427,5.958092061897724e-16,0.13796156466343357,0.04765154213325263,-0.054728227193940826,-0.034176402161890995,0.0751951884062331,0.024425075071098555
wkSMA[1][3],5.667672261781445e-16,-0.07808912407618253,0.14783338818728298,0.00903073245687952,-0.1819845975885101,0.007664966834501868,0.09273192588865989,2.0531263186269183e-15,-0.10178187688534313,0.12637447343668037,0.02152571175631218,0.1554113059856997,-0.03989951290776089,0.0343003388208447
wkRSI[1][3],-1.0651889927289243e-14,0.005036208637394096,-0.22140438421669925,-0.03510410102019722,0.047540241932645215,0.08569553688470373,-0.10364764340963262,1.4935487533540916e-15,-0.05734703002674161,0.21110733539364962,0.058857079857364214,0.04745974381931376,0.0169362201422253,0.13215714437967907
wkBB[1][3],1.0001774579614314e-15,0.10652336950316042,0.0027342087527080215,-0.09406365004933913,0.049153357264120165,-0.033581232801505705,0.05168984311817763,3.1561784976539295e-15,0.10486976025962344,0.03767053094475543,-0.08206113132930551,-0.04182330815007551,0.024211149541169298,0.131295996807377
wkATR[1][3],-3.167228616877866e-16,0.13480352190001893,0.047997214586705424,-0.102085684864514,0.01564681970706686,-0.025214330743633613,-0.00026308102540001024,3.3816198189149245e-15,0.13100219401583102,0.06797312253252946,-0.08472709138039136,0.012816820150794276,-0.028175384535290452,0.0195693015979944
wkSMA[1][4],7.918071542194665e-17,0.0063611305308234325,0.2017470360095553,0.06352139191249943,0.07789981304885031,-0.11058007926954652,0.004730177180161399,-4.830885455592749e-17,-0.07180211476252699,0.16502351649003116,0.11111619215769074,-0.08766837798145778,0.05281552734788042,0.06577937298324127
